City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Xai-Xai,MZ,2022-02-01 18:24:26,-25.0519,33.6442,78.13,79,2,12.57
147,Belmonte,BR,2022-02-01 18:24:26,-15.8631,-38.8828,86.5,65,21,10.94
148,Gravdal,NO,2022-02-01 18:24:27,68.1214,13.5031,30.09,51,0,19.57
149,Springbok,ZA,2022-02-01 18:24:27,-29.6643,17.8865,72.32,61,48,7.72
150,Bengkulu,ID,2022-02-01 18:24:27,-3.8004,102.2655,74.12,90,100,7.72
151,Bredasdorp,ZA,2022-02-01 18:24:28,-34.5322,20.0403,77.9,67,1,4.68
152,La Rochelle,FR,2022-02-01 18:24:01,46.1667,-1.15,49.08,93,100,17.27
153,Vila Velha,BR,2022-02-01 18:21:38,-20.3297,-40.2925,96.75,46,40,10.36
154,Mount Gambier,AU,2022-02-01 18:24:28,-37.8333,140.7667,48.11,66,40,6.91
155,Murakami,JP,2022-02-01 18:24:29,38.2333,139.4833,32.56,94,100,4.72
156,Ostrovnoy,RU,2022-02-01 18:24:29,68.0531,39.5131,13.66,95,100,3.13
157,Paamiut,GL,2022-02-01 18:24:29,61.994,-49.6678,16.72,76,100,14.54
158,Zhuhai,CN,2022-02-01 18:24:30,22.2769,113.5678,60.98,94,40,12.66
159,Bambous Virieux,MU,2022-02-01 18:24:30,-20.3428,57.7575,80.85,89,75,20.71
160,Cape Town,ZA,2022-02-01 18:23:21,-33.9258,18.4232,73.89,69,20,1.01
161,Khandyga,RU,2022-02-01 18:24:31,62.6667,135.6,-26.99,100,100,0.83
162,Torbay,CA,2022-02-01 18:24:31,47.6666,-52.7314,28.58,53,75,19.57
163,Inverell,AU,2022-02-01 18:24:31,-29.7833,151.1167,74.66,94,100,2.42
164,Korem,ET,2022-02-01 18:24:32,12.5058,39.5228,54.57,75,70,7.52
165,Kuri,KR,2022-02-01 18:24:32,37.5986,127.1394,28.08,68,40,3.44
166,Wanning,CN,2022-02-01 18:24:32,18.8003,110.3967,66.96,92,85,7.72
167,Najran,SA,2022-02-01 18:24:33,17.4924,44.1277,70.45,37,17,5.91
168,Sola,VU,2022-02-01 18:24:33,-13.8833,167.55,80.74,79,100,14.45
169,Esperance,AU,2022-02-01 18:23:33,-33.8667,121.9,58.84,66,63,16.98
170,Clyde River,CA,2022-02-01 18:24:33,70.4692,-68.5914,-21.77,69,75,5.75
171,Ribeira Grande,PT,2022-02-01 18:24:34,38.5167,-28.7,63.0,72,20,20.71
172,Pevek,RU,2022-02-01 18:24:34,69.7008,170.3133,-13.29,89,80,1.63
